iter	Passed	Remaining
0	13	26690
1	22	22652
2	34	22668
3	48	24176
4	53	21475
5	77	25881
6	83	23795
7	92	23066
8	98	21750
9	104	20727
10	108	19678
11	114	18940
12	120	18407
13	136	19302
14	142	18822
15	147	18347
16	153	17934
17	160	17683
18	167	17515
19	176	17435
20	185	17444
21	198	17829
22	204	17557
23	209	17279
24	216	17080
25	227	17265
26	242	17697
27	247	17409
28	252	17151
29	273	17981
30	292	18555
31	303	18635
32	309	18434
33	315	18270
34	322	18119
35	327	17890
36	334	17742
37	343	17717
38	366	18422
39	376	18429
40	380	18196
41	385	17955
42	391	17833
43	399	17757
44	406	17654
45	413	17565
46	420	17484
47	426	17363
48	434	17308
49	440	17170
50	444	17001
51	451	16911
52	457	16794
53	462	16679
54	466	16494
55	473	16436
56	479	16344
57	489	16405
58	495	16306
59	501	16210
60	506	16098
61	512	16027
62	518	15947
63	522	15802
64	527	15698
65	546	16000
66	561	16205
67	569	16167
68	575	16096
69	583	16093
70	592	16109
71	598	16033
72	603	15943
73	610	15893
74	617	15854
75	624	15819
76	631	15782
77	636	15672
78	640	15585
79	646	15523
80	652	15454
81	659	15422
82	666	15382
83	682	15561
84	696	15692
85	702	15632
86	707	15553
87	713	15504
88	717	15416
89	725	15405
90	732	15356
91	743	15414
92	749	15378
93	760	15416
94	769	15431
95	779	15461
96	785	15406
97	795	15433
98	814	15646
99	821	15601
100	829	15587
101	847	15777
102	855	15750
103	862	15719
104	867	15648
105	877	15670
106	882	15607
107	891	15624
108	897	15571
109	904	15540
110	909	15474
111	914	15424
112	919	15361
113	926	15325
114	930	15258
115	936	15206
116	942	15175
117	951	15169
118	956	15125
119	964	15106
120	969	15060
121	976	15025
122	984	15028
123	992	15008
124	998	14970
125	1005	14953
126	1011	14924
127	1018	14900
128	1025	14866
129	1030	14827
130	1036	14787
131	1041	14740
132	1049	14735
133	1056	14709
134	1061	14669
135	1067	14636
136	1075	14627
137	1081	14595
138	1087	14560
139	1101	14632
140	1107	14597
141	1114	14584
142	1132	14703
143	1139	14689
144	1149	14707
145	1160	14730
146	1167	14722
147	1176	14720
148	1190	14787
149	1196	14758
150	1203	14742
151	1211	14734
152	1240	14980
153	1245	14931
154	1252	14907
155	1258	14878
156	1263	14834
157	1269	14801
158	1275	14773
159	1284	14773
160	1291	14756
161	1298	14730
162	1304	14704
163	1311	14683
164	1316	14635
165	1330	14697
166	1334	14648
167	1346	14683
168	1380	14953
169	1387	14936
170	1396	14933
171	1402	14904
172	1410	14893
173	1417	14872
174	1423	14849
175	1438	14912
176	1443	14871
177	1448	14829
178	1454	14794
179	1467	14836
180	1473	14812
181	1480	14788
182	1486	14755
183	1497	14777
184	1513	14852
185	1519	14821
186	1530	14838
187	1541	14852
188	1548	14833
189	1556	14826
190	1562	14803
191	1571	14801
192	1579	14786
193	1589	14801
194	1597	14786
195	1604	14767
196	1611	14745
197	1618	14733
198	1625	14715
199	1633	14705
200	1642	14696
201	1650	14690
202	1658	14682
203	1665	14662
204	1672	14642
205	1680	14635
206	1685	14600
207	1694	14595
208	1701	14579
209	1708	14563
210	1714	14538
211	1723	14532
212	1738	14585
213	1743	14549
214	1749	14526
215	1753	14486
216	1758	14446
217	1769	14463
218	1774	14428
219	1781	14414
220	1799	14483
221	1805	14461
222	1813	14453
223	1820	14437
224	1835	14481
225	1842	14459
226	1848	14436
227	1854	14414
228	1860	14387
229	1867	14374
230	1873	14349
231	1880	14327
232	1889	14330
233	1896	14309
234	1904	14303
235	1909	14273
236	1916	14257
237	1924	14250
238	1941	14304
239	1949	14293
240	1954	14265
241	1959	14235
242	1966	14216
243	1979	14243
244	1995	14296
245	2001	14268
246	2006	14238
247	2011	14211
248	2019	14199
249	2026	14183
250	2031	14154
251	2038	14137
252	2043	14110
253	2047	14076
254	2054	14059
255	2061	14041
256	2067	14021
257	2073	14001
258	2078	13974
259	2089	13986
260	2098	13980
261	2104	13959
262	2113	13955
263	2120	13943
264	2134	13975
265	2149	14014
266	2157	14003
267	2164	13990
268	2173	13983
269	2180	13974
270	2189	13970
271	2196	13952
272	2203	13940
273	2223	14006
274	2229	13987
275	2239	13988
276	2246	13976
277	2254	13962
278	2261	13947
279	2267	13928
280	2286	13988
281	2293	13971
282	2298	13948
283	2306	13933
284	2317	13946
285	2328	13957
286	2338	13955
287	2343	13928
288	2348	13906
