iter	Passed	Remaining
0	187	935314
1	231	578169
2	282	469971
3	329	410990
4	371	371074
5	411	342341
6	456	325266
7	503	314348
8	552	306257
9	598	298600
10	643	291882
11	708	294355
12	756	290094
13	803	286217
14	852	283399
15	900	280449
16	945	277166
17	992	274692
18	1038	272157
19	1083	269806
20	1132	268516
21	1179	266784
22	1225	265166
23	1275	264360
24	1323	263400
25	1375	263069
26	1414	260461
27	1431	254127
28	1469	251909
29	1515	251137
30	1561	250241
31	1607	249528
32	1654	249024
33	1693	247295
34	1727	245056
35	1761	242923
36	1794	240768
37	1833	239451
38	1872	238151
39	1919	237986
40	1964	237635
41	2010	237299
42	2058	237320
43	2105	237137
44	2153	237165
45	2197	236661
46	2243	236426
47	2291	236362
48	2337	236201
49	2382	235913
50	2429	235719
51	2468	234846
52	2510	234364
53	2553	233913
54	2597	233583
55	2644	233464
56	2691	233422
57	2735	233059
58	2770	232047
59	2804	230941
60	2837	229743
61	2877	229173
62	2894	226853
63	2938	226607
64	2985	226701
65	3029	226513
66	3074	226378
67	3116	226026
68	3157	225668
69	3205	225793
70	3255	225988
71	3305	226246
72	3353	226346
73	3401	226432
74	3446	226333
75	3492	226278
76	3539	226297
77	3586	226341
78	3633	226305
79	3680	226329
80	3723	226145
81	3768	226009
82	3811	225772
83	3856	225698
84	3902	225646
85	3947	225580
86	3993	225521
87	4039	225494
88	4086	225508
89	4134	225568
90	4182	225629
91	4231	225728
92	4277	225714
93	4324	225682
94	4382	226272
95	4422	225918
96	4470	225965
97	4524	226324
98	4571	226297
99	4619	226363
100	4672	226655
101	4720	226667
102	4767	226642
103	4812	226563
104	4859	226561
105	4904	226422
106	4951	226406
107	4997	226381
108	5041	226225
